total,SD,not SD,R,timestep
10,4,6,0,0
10,4,6,0,1
10,4,6,0,2
12,6,6,0,3
12,6,6,0,4
16,9,7,0,5
20,10,10,0,6
28,12,16,0,7
30,12,18,0,8
36,13,23,0,9
44,16,28,0,10
61,22,39,0,11
72,21,51,0,12
88,33,55,0,13
104,39,65,0,14
117,42,75,8,15
141,50,91,8,16
158,59,99,10,17
180,78,102,10,18
189,77,112,14,19
216,97,119,18,20
232,104,128,26,21
262,123,139,28,22
278,131,147,32,23
296,138,158,40,24
304,145,159,56,25
320,154,166,68,26
341,160,181,84,27
365,176,189,98,28
376,178,198,116,29
382,187,195,138,30
404,195,209,153,31
422,203,219,174,32
430,210,220,186,33
434,211,223,215,34
456,227,229,235,35
452,228,224,262,36
457,234,223,282,37
466,241,225,308,38
473,254,219,331,39
472,255,217,356,40
457,244,213,391,41
454,237,217,427,42
447,244,203,457,43
441,253,188,481,44
425,243,182,516,45
402,238,164,554,46
388,226,162,577,47
369,222,147,606,48
334,200,134,648,49
324,199,125,668,50
307,192,115,694,51
281,175,106,731,52
263,155,108,760,53
240,147,93,786,54
221,132,89,809,55
196,117,79,842,56
187,118,69,863,57
179,108,71,881,58
169,102,67,899,59
151,89,62,915,60
143,80,63,930,61
138,77,61,941,62
134,79,55,953,63
129,72,57,964,64
122,68,54,976,65
110,59,51,988,66
101,57,44,1003,67
98,57,41,1007,68
92,56,36,1013,69
88,55,33,1022,70
74,47,27,1034,71
64,40,24,1044,72
57,35,22,1052,73
55,33,22,1053,74
51,30,21,1058,75
47,31,16,1064,76
41,24,17,1070,77
40,24,16,1076,78
39,23,16,1078,79
36,22,14,1082,80
31,18,13,1089,81
31,18,13,1090,82
29,17,12,1092,83
26,15,11,1096,84
27,17,10,1096,85
25,16,9,1097,86
26,15,11,1099,87
26,14,12,1100,88
26,15,11,1102,89
25,15,10,1103,90
24,16,8,1105,91
21,12,9,1109,92
20,11,9,1110,93
18,10,8,1112,94
16,10,6,1114,95
15,10,5,1115,96
14,10,4,1116,97
12,10,2,1119,98
11,9,2,1120,99
10,9,1,1121,100
7,7,0,1124,101
6,6,0,1125,102
4,4,0,1126,103
4,4,0,1126,104
3,3,0,1127,105
2,2,0,1128,106
2,2,0,1128,107
1,1,0,1129,108
1,1,0,1129,109
1,1,0,1129,110
1,1,0,1129,111
0,0,0,1130,112
