total,SD,not SD,R,timestep
8,5,3,0,0
8,5,3,0,1
8,5,3,0,2
8,5,3,0,3
9,5,4,0,4
11,6,5,0,5
12,6,6,0,6
13,7,6,0,7
14,7,7,0,8
16,9,7,0,9
19,12,7,0,10
22,12,10,0,11
24,13,11,0,12
25,14,11,0,13
30,16,14,0,14
23,11,12,8,15
25,14,11,8,16
30,16,14,8,17
30,18,12,9,18
31,18,13,11,19
30,17,13,12,20
31,18,13,13,21
29,16,13,14,22
32,16,16,15,23
33,15,18,18,24
35,16,19,20,25
37,17,20,22,26
46,20,26,23,27
46,18,28,27,28
47,20,27,28,29
50,22,28,29,30
49,30,19,34,31
50,30,20,35,32
53,33,20,36,33
58,37,21,36,34
57,35,22,39,35
59,35,24,39,36
60,34,26,44,37
59,32,27,48,38
59,30,29,52,39
62,33,29,55,40
53,26,27,65,41
51,26,25,69,42
52,28,24,71,43
48,28,20,75,44
47,31,16,78,45
43,28,15,81,46
42,27,15,85,47
41,27,14,89,48
43,28,15,91,49
43,27,16,94,50
41,25,16,99,51
42,27,15,103,52
41,25,16,107,53
36,19,17,113,54
42,21,21,114,55
43,20,23,116,56
45,21,24,119,57
51,21,30,121,58
51,22,29,123,59
50,24,26,124,60
51,25,26,127,61
50,25,25,130,62
49,25,24,133,63
49,26,23,136,64
51,26,25,138,65
47,24,23,143,66
48,24,24,145,67
49,26,23,145,68
49,25,24,152,69
52,26,26,155,70
50,26,24,158,71
43,21,22,165,72
46,24,22,168,73
46,23,23,168,74
47,26,21,170,75
47,27,20,172,76
44,26,18,175,77
43,26,17,177,78
40,26,14,181,79
40,26,14,182,80
42,26,16,186,81
39,24,15,188,82
34,19,15,195,83
32,18,14,200,84
31,21,10,202,85
33,22,11,203,86
28,19,9,209,87
29,19,10,210,88
28,18,10,213,89
29,18,11,214,90
28,18,10,215,91
28,18,10,216,92
31,18,13,217,93
31,18,13,218,94
27,14,13,223,95
29,16,13,223,96
29,16,13,225,97
29,15,14,228,98
28,14,14,230,99
26,11,15,233,100
26,12,14,235,101
27,13,14,237,102
24,13,11,239,103
24,13,11,241,104
27,14,13,241,105
29,15,14,241,106
27,16,11,246,107
27,16,11,247,108
31,19,12,248,109
31,20,11,249,110
29,21,8,252,111
30,21,9,255,112
29,21,8,256,113
31,20,11,257,114
30,21,9,259,115
28,20,8,262,116
28,20,8,262,117
27,21,6,264,118
26,19,7,266,119
26,17,9,268,120
25,17,8,272,121
24,16,8,273,122
19,14,5,278,123
19,13,6,279,124
17,11,6,280,125
15,9,6,283,126
16,10,6,283,127
16,9,7,285,128
17,9,8,286,129
17,9,8,287,130
17,9,8,287,131
16,7,9,288,132
15,6,9,289,133
15,7,8,290,134
14,6,8,292,135
15,6,9,292,136
14,5,9,293,137
14,6,8,294,138
14,7,7,294,139
13,6,7,295,140
14,7,7,296,141
12,8,4,298,142
12,8,4,298,143
11,9,2,300,144
10,8,2,300,145
10,8,2,301,146
11,9,2,301,147
10,8,2,302,148
9,7,2,303,149
8,6,2,304,150
8,7,1,304,151
7,6,1,305,152
7,6,1,305,153
7,5,2,306,154
4,2,2,309,155
5,3,2,309,156
5,3,2,309,157
4,3,1,310,158
4,3,1,310,159
4,3,1,310,160
3,3,0,311,161
3,3,0,311,162
3,3,0,311,163
3,3,0,311,164
2,2,0,311,165
2,2,0,311,166
2,2,0,311,167
2,2,0,311,168
2,2,0,311,169
0,0,0,313,170
