total,SD,not SD,R,timestep
6,6,0,0,0
6,6,0,0,1
6,6,0,0,2
6,6,0,0,3
6,6,0,0,4
7,6,1,0,5
7,6,1,0,6
8,6,2,0,7
8,6,2,0,8
9,6,3,0,9
9,6,3,0,10
10,6,4,0,11
12,7,5,0,12
11,5,6,0,13
11,5,6,0,14
8,1,7,4,15
10,1,9,4,16
10,1,9,4,17
11,2,9,4,18
11,3,8,5,19
12,4,8,5,20
12,5,7,6,21
12,6,6,6,22
10,5,5,7,23
10,5,5,7,24
9,5,4,8,25
8,5,3,9,26
7,4,3,10,27
7,4,3,10,28
6,4,2,11,29
4,4,0,13,30
4,4,0,13,31
3,3,0,14,32
2,2,0,15,33
1,1,0,16,34
0,0,0,17,35
