total,SD,not SD,R,timestep
5,3,2,0,0
5,3,2,0,1
5,3,2,0,2
5,3,2,0,3
5,3,2,0,4
15,3,12,0,5
19,4,15,0,6
26,7,19,0,7
38,7,31,0,8
54,10,44,0,9
69,11,58,0,10
83,19,64,0,11
100,26,74,0,12
114,35,79,0,13
142,51,91,0,14
167,57,110,4,15
199,62,137,4,16
229,71,158,4,17
253,77,176,4,18
273,95,178,14,19
311,114,197,17,20
323,126,197,24,21
353,139,214,32,22
379,139,240,44,23
405,148,257,58,24
425,156,269,70,25
449,169,280,86,26
485,183,302,98,27
500,194,306,123,28
530,195,335,151,29
550,199,351,179,30
578,199,379,208,31
596,214,382,233,32
628,224,404,261,33
646,247,399,301,34
687,273,414,318,35
705,289,416,353,36
718,300,418,388,37
726,311,415,426,38
754,328,426,456,39
766,339,427,494,40
778,343,435,541,41
782,360,422,580,42
768,355,413,631,43
770,360,410,675,44
742,354,388,730,45
731,357,374,773,46
698,356,342,832,47
662,351,311,889,48
626,335,291,946,49
586,321,265,998,50
551,299,252,1047,51
513,279,234,1095,52
461,248,213,1153,53
426,240,186,1199,54
384,220,164,1250,55
344,205,139,1292,56
309,189,120,1330,57
263,161,102,1375,58
234,146,88,1404,59
209,129,80,1435,60
181,113,68,1463,61
158,97,61,1484,62
135,78,57,1508,63
119,67,52,1524,64
99,55,44,1542,65
82,49,33,1558,66
67,41,26,1571,67
51,31,20,1586,68
39,23,16,1598,69
34,19,15,1603,70
27,17,10,1610,71
24,15,9,1613,72
20,11,9,1617,73
11,9,2,1626,74
7,5,2,1630,75
6,4,2,1631,76
3,3,0,1634,77
2,2,0,1635,78
2,2,0,1635,79
1,1,0,1636,80
1,1,0,1636,81
1,1,0,1636,82
0,0,0,1637,83
